"Stimulus_Number","Filename"
183,"1003_TIE_ANG_XX"
184,"1003_TIE_FEA_XX"
185,"1003_TIE_DIS_XX"
186,"1003_IOM_NEU_XX"
187,"1003_IOM_HAP_XX"
188,"1003_IOM_SAD_XX"
189,"1003_IOM_ANG_XX"
190,"1003_IOM_FEA_XX"
191,"1003_IOM_DIS_XX"
192,"1003_IWW_NEU_XX"
193,"1003_IWW_HAP_XX"
194,"1003_IWW_SAD_XX"
195,"1003_IWW_ANG_XX"
196,"1003_IWW_FEA_XX"
197,"1003_IWW_DIS_XX"
198,"1003_TAI_NEU_XX"
199,"1003_TAI_HAP_XX"
200,"1003_TAI_SAD_XX"
201,"1003_TAI_ANG_XX"
202,"1003_TAI_FEA_XX"
203,"1003_TAI_DIS_XX"
204,"1003_MTI_NEU_XX"
205,"1003_MTI_HAP_XX"
206,"1003_MTI_SAD_XX"
207,"1003_MTI_ANG_XX"
208,"1003_MTI_FEA_XX"
209,"1003_MTI_DIS_XX"
210,"1003_IWL_NEU_XX"
211,"1003_IWL_HAP_XX"
212,"1003_IWL_SAD_XX"
213,"1003_IWL_ANG_XX"
214,"1003_IWL_FEA_XX"
215,"1003_IWL_DIS_XX"
216,"1003_ITH_NEU_XX"
217,"1003_ITH_HAP_XX"
218,"1003_ITH_SAD_XX"
219,"1003_ITH_ANG_XX"
220,"1003_ITH_FEA_XX"
221,"1003_ITH_DIS_XX"
222,"1003_DFA_NEU_XX"
223,"1003_DFA_HAP_XX"
224,"1003_DFA_SAD_XX"
225,"1003_DFA_ANG_XX"
226,"1003_DFA_FEA_XX"
227,"1003_DFA_DIS_XX"
228,"1003_ITS_NEU_XX"
229,"1003_ITS_HAP_XX"
230,"1003_ITS_SAD_XX"
231,"1003_ITS_ANG_XX"
232,"1003_ITS_FEA_XX"
233,"1003_ITS_DIS_XX"
234,"1003_TSI_NEU_XX"
235,"1003_TSI_HAP_XX"
236,"1003_TSI_SAD_XX"
237,"1003_TSI_ANG_XX"
238,"1003_TSI_FEA_XX"
239,"1003_TSI_DIS_XX"
240,"1003_WSI_NEU_XX"
241,"1003_WSI_HAP_XX"
242,"1003_WSI_SAD_XX"
243,"1003_WSI_ANG_XX"
244,"1003_WSI_FEA_XX"
245,"1003_WSI_DIS_XX"
246,"1004_IEO_NEU_XX"
247,"1004_IEO_HAP_LO"
248,"1004_IEO_HAP_MD"
249,"1004_IEO_HAP_HI"
250,"1004_IEO_SAD_LO"
251,"1004_IEO_SAD_MD"
252,"1004_IEO_SAD_HI"
253,"1004_IEO_ANG_LO"
254,"1004_IEO_ANG_MD"
255,"1004_IEO_ANG_HI"
256,"1004_IEO_FEA_LO"
257,"1004_IEO_FEA_MD"
258,"1004_IEO_FEA_HI"
259,"1004_IEO_DIS_LO"
260,"1004_IEO_DIS_MD"
261,"1004_IEO_DIS_HI"
262,"1004_TIE_NEU_XX"
263,"1004_TIE_HAP_XX"
264,"1004_TIE_SAD_XX"
265,"1004_TIE_ANG_XX"
266,"1004_TIE_FEA_XX"
267,"1004_TIE_DIS_XX"
268,"1004_IOM_NEU_XX"
269,"1004_IOM_HAP_XX"
270,"1004_IOM_SAD_XX"
271,"1004_IOM_ANG_XX"
272,"1004_IOM_FEA_XX"
273,"1004_IOM_DIS_XX"
274,"1004_IWW_NEU_XX"
275,"1004_IWW_HAP_XX"
276,"1004_IWW_SAD_XX"
277,"1004_IWW_ANG_XX"
278,"1004_IWW_FEA_XX"
279,"1004_IWW_DIS_XX"
280,"1004_TAI_NEU_XX"
281,"1004_TAI_HAP_XX"
282,"1004_TAI_SAD_XX"
283,"1004_TAI_ANG_XX"
284,"1004_TAI_FEA_XX"
285,"1004_TAI_DIS_XX"
286,"1004_MTI_NEU_XX"
287,"1004_MTI_HAP_XX"
288,"1004_MTI_SAD_XX"
289,"1004_MTI_ANG_XX"
290,"1004_MTI_FEA_XX"
291,"1004_MTI_DIS_XX"
292,"1004_IWL_NEU_XX"
293,"1004_IWL_HAP_XX"
294,"1004_IWL_SAD_XX"
295,"1004_IWL_ANG_XX"
296,"1004_IWL_FEA_XX"
297,"1004_IWL_DIS_XX"
298,"1004_ITH_NEU_XX"
299,"1004_ITH_HAP_XX"
300,"1004_ITH_SAD_XX"
301,"1004_ITH_ANG_XX"
302,"1004_ITH_FEA_XX"
303,"1004_ITH_DIS_XX"
304,"1004_DFA_NEU_XX"
305,"1004_DFA_HAP_XX"
306,"1004_DFA_SAD_XX"
307,"1004_DFA_ANG_XX"
308,"1004_DFA_FEA_XX"
309,"1004_DFA_DIS_XX"
310,"1004_ITS_NEU_XX"
311,"1004_ITS_HAP_XX"
312,"1004_ITS_SAD_XX"
313,"1004_ITS_ANG_XX"
314,"1004_ITS_FEA_XX"
315,"1004_ITS_DIS_XX"
316,"1004_TSI_NEU_XX"
317,"1004_TSI_HAP_XX"
318,"1004_TSI_SAD_XX"
319,"1004_TSI_ANG_XX"
320,"1004_TSI_FEA_XX"
321,"1004_TSI_DIS_XX"
322,"1004_WSI_NEU_XX"
323,"1004_WSI_HAP_XX"
324,"1004_WSI_SAD_XX"
325,"1004_WSI_ANG_XX"
326,"1004_WSI_FEA_XX"
327,"1004_WSI_DIS_XX"
328,"1005_IEO_NEU_XX"
329,"1005_IEO_HAP_LO"
330,"1005_IEO_HAP_MD"
331,"1005_IEO_HAP_HI"
332,"1005_IEO_SAD_LO"
333,"1005_IEO_SAD_MD"
334,"1005_IEO_SAD_HI"
335,"1005_IEO_ANG_LO"
336,"1005_IEO_ANG_MD"
337,"1005_IEO_ANG_HI"
338,"1005_IEO_FEA_LO"
339,"1005_IEO_FEA_MD"
340,"1005_IEO_FEA_HI"
341,"1005_IEO_DIS_LO"
342,"1005_IEO_DIS_MD"
343,"1005_IEO_DIS_HI"
344,"1005_TIE_NEU_XX"
345,"1005_TIE_HAP_XX"
346,"1005_TIE_SAD_XX"
347,"1005_TIE_ANG_XX"
348,"1005_TIE_FEA_XX"
349,"1005_TIE_DIS_XX"
350,"1005_IOM_NEU_XX"
351,"1005_IOM_HAP_XX"
352,"1005_IOM_SAD_XX"
353,"1005_IOM_ANG_XX"
354,"1005_IOM_FEA_XX"
355,"1005_IOM_DIS_XX"
356,"1005_IWW_NEU_XX"
357,"1005_IWW_HAP_XX"
358,"1005_IWW_SAD_XX"
359,"1005_IWW_ANG_XX"
360,"1005_IWW_FEA_XX"
361,"1005_IWW_DIS_XX"
362,"1005_TAI_NEU_XX"
363,"1005_TAI_HAP_XX"
364,"1005_TAI_SAD_XX"
365,"1005_TAI_ANG_XX"
366,"1005_TAI_FEA_XX"
367,"1005_TAI_DIS_XX"
368,"1005_MTI_NEU_XX"
369,"1005_MTI_HAP_XX"
370,"1005_MTI_SAD_XX"
371,"1005_MTI_ANG_XX"
372,"1005_MTI_FEA_XX"
373,"1005_MTI_DIS_XX"
374,"1005_IWL_NEU_XX"
375,"1005_IWL_HAP_XX"
376,"1005_IWL_SAD_XX"
377,"1005_IWL_ANG_XX"
378,"1005_IWL_FEA_XX"
379,"1005_IWL_DIS_XX"
380,"1005_ITH_NEU_XX"
381,"1005_ITH_HAP_XX"
382,"1005_ITH_SAD_XX"
383,"1005_ITH_ANG_XX"
384,"1005_ITH_FEA_XX"
385,"1005_ITH_DIS_XX"
386,"1005_DFA_NEU_XX"
387,"1005_DFA_HAP_XX"
388,"1005_DFA_SAD_XX"
389,"1005_DFA_ANG_XX"
390,"1005_DFA_FEA_XX"
391,"1005_DFA_DIS_XX"
392,"1005_ITS_NEU_XX"
393,"1005_ITS_HAP_XX"
394,"1005_ITS_SAD_XX"
395,"1005_ITS_ANG_XX"
396,"1005_ITS_FEA_XX"
397,"1005_ITS_DIS_XX"
398,"1005_TSI_NEU_XX"
399,"1005_TSI_HAP_XX"
400,"1005_TSI_SAD_XX"
401,"1005_TSI_ANG_XX"
402,"1005_TSI_FEA_XX"
403,"1005_TSI_DIS_XX"
404,"1005_WSI_NEU_XX"
405,"1005_WSI_HAP_XX"
406,"1005_WSI_SAD_XX"
407,"1005_WSI_ANG_XX"
408,"1005_WSI_FEA_XX"
409,"1005_WSI_DIS_XX"
410,"1006_IEO_NEU_XX"
411,"1006_IEO_HAP_LO"
412,"1006_IEO_HAP_MD"
413,"1006_IEO_HAP_HI"
414,"1006_IEO_SAD_LO"
415,"1006_IEO_SAD_MD"
416,"1006_IEO_SAD_HI"
417,"1006_IEO_ANG_LO"
418,"1006_IEO_ANG_MD"
419,"1006_IEO_ANG_HI"
420,"1006_IEO_FEA_LO"
421,"1006_IEO_FEA_MD"
422,"1006_IEO_FEA_HI"
423,"1006_IEO_DIS_LO"
424,"1006_IEO_DIS_MD"
425,"1006_IEO_DIS_HI"
426,"1006_TIE_NEU_XX"
427,"1006_TIE_HAP_XX"
428,"1006_TIE_SAD_XX"
429,"1006_TIE_ANG_XX"
430,"1006_TIE_FEA_XX"
431,"1006_TIE_DIS_XX"
432,"1006_IOM_NEU_XX"
433,"1006_IOM_HAP_XX"
434,"1006_IOM_SAD_XX"
435,"1006_IOM_ANG_XX"
436,"1006_IOM_FEA_XX"
437,"1006_IOM_DIS_XX"
438,"1006_IWW_NEU_XX"
439,"1006_IWW_HAP_XX"
440,"1006_IWW_SAD_XX"
441,"1006_IWW_ANG_XX"
442,"1006_IWW_FEA_XX"
443,"1006_IWW_DIS_XX"
444,"1006_TAI_NEU_XX"
445,"1006_TAI_HAP_XX"
446,"1006_TAI_SAD_XX"
447,"1006_TAI_ANG_XX"
448,"1006_TAI_FEA_XX"
449,"1006_TAI_DIS_XX"
450,"1006_MTI_NEU_XX"
451,"1006_MTI_HAP_XX"
452,"1006_MTI_SAD_XX"
453,"1006_MTI_ANG_XX"
454,"1006_MTI_FEA_XX"
455,"1006_MTI_DIS_XX"
456,"1006_IWL_NEU_XX"
457,"1006_IWL_HAP_XX"
458,"1006_IWL_SAD_XX"
459,"1006_IWL_ANG_XX"
460,"1006_IWL_FEA_XX"
461,"1006_IWL_DIS_XX"
462,"1006_ITH_NEU_XX"
463,"1006_ITH_HAP_XX"
464,"1006_ITH_SAD_XX"
465,"1006_ITH_ANG_XX"
466,"1006_ITH_FEA_XX"
467,"1006_ITH_DIS_XX"
468,"1006_DFA_NEU_XX"
469,"1006_DFA_HAP_XX"
470,"1006_DFA_SAD_XX"
471,"1006_DFA_ANG_XX"
472,"1006_DFA_FEA_XX"
473,"1006_DFA_DIS_XX"
474,"1006_ITS_NEU_XX"
475,"1006_ITS_HAP_XX"
476,"1006_ITS_SAD_XX"
477,"1006_ITS_ANG_XX"
478,"1006_ITS_FEA_XX"
479,"1006_ITS_DIS_XX"
480,"1006_TSI_NEU_XX"
481,"1006_TSI_HAP_XX"
482,"1006_TSI_SAD_XX"
483,"1006_TSI_ANG_XX"
484,"1006_TSI_FEA_XX"
485,"1006_TSI_DIS_XX"
486,"1006_WSI_NEU_XX"
487,"1006_WSI_HAP_XX"
488,"1006_WSI_SAD_XX"
489,"1006_WSI_ANG_XX"
490,"1006_WSI_FEA_XX"
491,"1006_WSI_DIS_XX"
492,"1007_IEO_NEU_XX"
493,"1007_IEO_HAP_LO"
494,"1007_IEO_HAP_MD"
495,"1007_IEO_HAP_HI"
496,"1007_IEO_SAD_LO"
497,"1007_IEO_SAD_MD"
498,"1007_IEO_SAD_HI"
499,"1007_IEO_ANG_LO"
500,"1007_IEO_ANG_MD"
501,"1007_IEO_ANG_HI"
502,"1007_IEO_FEA_LO"
503,"1007_IEO_FEA_MD"
504,"1007_IEO_FEA_HI"
505,"1007_IEO_DIS_LO"
506,"1007_IEO_DIS_MD"
507,"1007_IEO_DIS_HI"
508,"1007_TIE_NEU_XX"
509,"1007_TIE_HAP_XX"
510,"1007_TIE_SAD_XX"
511,"1007_TIE_ANG_XX"
512,"1007_TIE_FEA_XX"
513,"1007_TIE_DIS_XX"
514,"1007_IOM_NEU_XX"
515,"1007_IOM_HAP_XX"
516,"1007_IOM_SAD_XX"
517,"1007_IOM_ANG_XX"
518,"1007_IOM_FEA_XX"
519,"1007_IOM_DIS_XX"
520,"1007_IWW_NEU_XX"
521,"1007_IWW_HAP_XX"
522,"1007_IWW_SAD_XX"
523,"1007_IWW_ANG_XX"
524,"1007_IWW_FEA_XX"
525,"1007_IWW_DIS_XX"
526,"1007_TAI_NEU_XX"
527,"1007_TAI_HAP_XX"
528,"1007_TAI_SAD_XX"
529,"1007_TAI_ANG_XX"
530,"1007_TAI_FEA_XX"
531,"1007_TAI_DIS_XX"
532,"1007_MTI_NEU_XX"
533,"1007_MTI_HAP_XX"
534,"1007_MTI_SAD_XX"
535,"1007_MTI_ANG_XX"
536,"1007_MTI_FEA_XX"
537,"1007_MTI_DIS_XX"
538,"1007_IWL_NEU_XX"
539,"1007_IWL_HAP_XX"
540,"1007_IWL_SAD_XX"
541,"1007_IWL_ANG_XX"
542,"1007_IWL_FEA_XX"
543,"1007_IWL_DIS_XX"
544,"1007_ITH_NEU_XX"
545,"1007_ITH_HAP_XX"
546,"1007_ITH_SAD_XX"
547,"1007_ITH_ANG_XX"
548,"1007_ITH_FEA_XX"
549,"1007_ITH_DIS_XX"
550,"1007_DFA_NEU_XX"
551,"1007_DFA_HAP_XX"
552,"1007_DFA_SAD_XX"
553,"1007_DFA_ANG_XX"
554,"1007_DFA_FEA_XX"
555,"1007_DFA_DIS_XX"
556,"1007_ITS_NEU_XX"
557,"1007_ITS_HAP_XX"
558,"1007_ITS_SAD_XX"
559,"1007_ITS_ANG_XX"
560,"1007_ITS_FEA_XX"
561,"1007_ITS_DIS_XX"
562,"1007_TSI_NEU_XX"
563,"1007_TSI_HAP_XX"
564,"1007_TSI_SAD_XX"
565,"1007_TSI_ANG_XX"
566,"1007_TSI_FEA_XX"
567,"1007_TSI_DIS_XX"
568,"1007_WSI_NEU_XX"
569,"1007_WSI_HAP_XX"
570,"1007_WSI_SAD_XX"
571,"1007_WSI_ANG_XX"
572,"1007_WSI_FEA_XX"
573,"1007_WSI_DIS_XX"
574,"1008_IEO_NEU_XX"
575,"1008_IEO_HAP_LO"
576,"1008_IEO_HAP_MD"
577,"1008_IEO_HAP_HI"
578,"1008_IEO_SAD_LO"
579,"1008_IEO_SAD_MD"
580,"1008_IEO_SAD_HI"
581,"1008_IEO_ANG_LO"
582,"1008_IEO_ANG_MD"
583,"1008_IEO_ANG_HI"
584,"1008_IEO_FEA_LO"
585,"1008_IEO_FEA_MD"
586,"1008_IEO_FEA_HI"
587,"1008_IEO_DIS_LO"
588,"1008_IEO_DIS_MD"
589,"1008_IEO_DIS_HI"
590,"1008_TIE_NEU_XX"
591,"1008_TIE_HAP_XX"
592,"1008_TIE_SAD_XX"
593,"1008_TIE_ANG_XX"
594,"1008_TIE_FEA_XX"
595,"1008_TIE_DIS_XX"
596,"1008_IOM_NEU_XX"
597,"1008_IOM_HAP_XX"
598,"1008_IOM_SAD_XX"
599,"1008_IOM_ANG_XX"
600,"1008_IOM_FEA_XX"
601,"1008_IOM_DIS_XX"
602,"1008_IWW_NEU_XX"
603,"1008_IWW_HAP_XX"
604,"1008_IWW_SAD_XX"
605,"1008_IWW_ANG_XX"
606,"1008_IWW_FEA_XX"
607,"1008_IWW_DIS_XX"
608,"1008_TAI_NEU_XX"
609,"1008_TAI_HAP_XX"
610,"1008_TAI_SAD_XX"
611,"1008_TAI_ANG_XX"
612,"1008_TAI_FEA_XX"
613,"1008_TAI_DIS_XX"
614,"1008_MTI_NEU_XX"
615,"1008_MTI_HAP_XX"
616,"1008_MTI_SAD_XX"
617,"1008_MTI_ANG_XX"
618,"1008_MTI_FEA_XX"
619,"1008_MTI_DIS_XX"
620,"1008_IWL_NEU_XX"
621,"1008_IWL_HAP_XX"
622,"1008_IWL_SAD_XX"
623,"1008_IWL_ANG_XX"
624,"1008_IWL_FEA_XX"
625,"1008_IWL_DIS_XX"
626,"1008_ITH_NEU_XX"
627,"1008_ITH_HAP_XX"
628,"1008_ITH_SAD_XX"
629,"1008_ITH_ANG_XX"
630,"1008_ITH_FEA_XX"
631,"1008_ITH_DIS_XX"
632,"1008_DFA_NEU_XX"
633,"1008_DFA_HAP_XX"
634,"1008_DFA_SAD_XX"
635,"1008_DFA_ANG_XX"
636,"1008_DFA_FEA_XX"
637,"1008_DFA_DIS_XX"
638,"1008_ITS_NEU_XX"
639,"1008_ITS_HAP_XX"
640,"1008_ITS_SAD_XX"
641,"1008_ITS_ANG_XX"
642,"1008_ITS_FEA_XX"
643,"1008_ITS_DIS_XX"
644,"1008_TSI_NEU_XX"
645,"1008_TSI_HAP_XX"
646,"1008_TSI_SAD_XX"
647,"1008_TSI_ANG_XX"
648,"1008_TSI_FEA_XX"
649,"1008_TSI_DIS_XX"
650,"1009_IEO_NEU_XX"
651,"1009_IEO_HAP_LO"
652,"1009_IEO_HAP_MD"
653,"1009_IEO_HAP_HI"
654,"1009_IEO_SAD_LO"
655,"1009_IEO_SAD_MD"
656,"1009_IEO_SAD_HI"
657,"1009_IEO_ANG_LO"
658,"1009_IEO_ANG_MD"
659,"1009_IEO_ANG_HI"
660,"1009_IEO_FEA_LO"
661,"1009_IEO_FEA_MD"
662,"1009_IEO_FEA_HI"
663,"1009_IEO_DIS_LO"
664,"1009_IEO_DIS_MD"
665,"1009_IEO_DIS_HI"
666,"1009_TIE_NEU_XX"
667,"1009_TIE_HAP_XX"
668,"1009_TIE_SAD_XX"
669,"1009_TIE_ANG_XX"
670,"1009_TIE_FEA_XX"
671,"1009_TIE_DIS_XX"
672,"1009_IOM_NEU_XX"
673,"1009_IOM_HAP_XX"
674,"1009_IOM_SAD_XX"
675,"1009_IOM_ANG_XX"
676,"1009_IOM_FEA_XX"
677,"1009_IOM_DIS_XX"
678,"1009_IWW_NEU_XX"
679,"1009_IWW_HAP_XX"
680,"1009_IWW_SAD_XX"
681,"1009_IWW_ANG_XX"
682,"1009_IWW_FEA_XX"
683,"1009_IWW_DIS_XX"
684,"1009_TAI_NEU_XX"
685,"1009_TAI_HAP_XX"
686,"1009_TAI_SAD_XX"
687,"1009_TAI_ANG_XX"
688,"1009_TAI_FEA_XX"
689,"1009_TAI_DIS_XX"
690,"1009_IWL_NEU_XX"
691,"1009_IWL_HAP_XX"
692,"1009_IWL_SAD_XX"
693,"1009_IWL_ANG_XX"
694,"1009_IWL_FEA_XX"
695,"1009_IWL_DIS_XX"
696,"1009_ITH_NEU_XX"
697,"1009_ITH_HAP_XX"
698,"1009_ITH_SAD_XX"
699,"1009_ITH_ANG_XX"
700,"1009_ITH_FEA_XX"
701,"1009_ITH_DIS_XX"
702,"1009_DFA_NEU_XX"
703,"1009_DFA_HAP_XX"
704,"1009_DFA_SAD_XX"
705,"1009_DFA_ANG_XX"
706,"1009_DFA_FEA_XX"
707,"1009_DFA_DIS_XX"
708,"1009_ITS_NEU_XX"
709,"1009_ITS_HAP_XX"
710,"1009_ITS_SAD_XX"
711,"1009_ITS_ANG_XX"
712,"1009_ITS_FEA_XX"
713,"1009_ITS_DIS_XX"
714,"1009_TSI_NEU_XX"
715,"1009_TSI_HAP_XX"
716,"1009_TSI_SAD_XX"
717,"1009_TSI_ANG_XX"
718,"1009_TSI_FEA_XX"
719,"1009_TSI_DIS_XX"
720,"1009_WSI_NEU_XX"
721,"1009_WSI_HAP_XX"
722,"1009_WSI_SAD_XX"
723,"1009_WSI_ANG_XX"
724,"1009_WSI_FEA_XX"
725,"1009_WSI_DIS_XX"
726,"1010_IEO_NEU_XX"
727,"1010_IEO_HAP_LO"
728,"1010_IEO_HAP_MD"
729,"1010_IEO_HAP_HI"
730,"1010_IEO_SAD_LO"
731,"1010_IEO_SAD_MD"
732,"1010_IEO_SAD_HI"
733,"1010_IEO_ANG_LO"
734,"1010_IEO_ANG_MD"
735,"1010_IEO_ANG_HI"
736,"1010_IEO_FEA_LO"
737,"1010_IEO_FEA_MD"
738,"1010_IEO_FEA_HI"
739,"1010_IEO_DIS_LO"
740,"1010_IEO_DIS_MD"
741,"1010_IEO_DIS_HI"
742,"1010_TIE_NEU_XX"
743,"1010_TIE_HAP_XX"
744,"1010_TIE_SAD_XX"
745,"1010_TIE_ANG_XX"
746,"1010_TIE_FEA_XX"
747,"1010_TIE_DIS_XX"
748,"1010_IOM_NEU_XX"
749,"1010_IOM_HAP_XX"
750,"1010_IOM_SAD_XX"
751,"1010_IOM_ANG_XX"
752,"1010_IOM_FEA_XX"
753,"1010_IOM_DIS_XX"
754,"1010_IWW_NEU_XX"
755,"1010_IWW_HAP_XX"
756,"1010_IWW_SAD_XX"
757,"1010_IWW_ANG_XX"
758,"1010_IWW_FEA_XX"
759,"1010_IWW_DIS_XX"
760,"1010_TAI_NEU_XX"
761,"1010_TAI_HAP_XX"
762,"1010_TAI_SAD_XX"
763,"1010_TAI_ANG_XX"
764,"1010_TAI_FEA_XX"
765,"1010_TAI_DIS_XX"
766,"1010_MTI_NEU_XX"
767,"1010_MTI_HAP_XX"
768,"1010_MTI_SAD_XX"
769,"1010_MTI_ANG_XX"
770,"1010_MTI_FEA_XX"
771,"1010_MTI_DIS_XX"
772,"1010_IWL_NEU_XX"
773,"1010_IWL_HAP_XX"
774,"1010_IWL_SAD_XX"
775,"1010_IWL_ANG_XX"
776,"1010_IWL_FEA_XX"
