"","A","D","F","H","N","S","fileName","numResponses","agreement","emoVote","meanEmoResp","meanAngerResp","meanDisgustResp","meanFearResp","meanHappyResp","meanNeutralResp","meanSadResp","medianEmoResp","meanEmoRespNorm","meanAngerRespNorm","meanDisgustRespNorm","meanFearRespNorm","meanHappyRespNorm","meanNeutralRespNorm","meanSadRespNorm","medianEmoRespNorm"
"100013",2,3,3,1,2,0,"1001_IEO_FEA_HI",11,0.272727272727273,"D:F",67.7272727272727,93,81.3333333333333,63.6666666666667,26,49,-1,76,64.5385339729222,92.6315789473684,81.4244186046512,52.5182457202435,27.7777777777778,47.5274725274725,-1,80.7692307692308
"100014",0,2,1,0,7,1,"1001_IEO_DIS_LO",11,0.636363636363636,"N",50.0909090909091,-1,46.5,22,-1,59.5714285714286,19,49,41.1255497986241,-1,40.9206234142805,9.09090909090909,-1,49.5278276435342,14.7540983606557,38.8888888888889
"100015",1,1,1,0,8,0,"1001_IEO_DIS_MD",11,0.727272727272727,"N",72.1818181818182,76,96,40,-1,72.75,-1,74,68.3419805391695,59.0909090909091,94.3661971830986,40.9836065573771,-1,69.6651341374349,-1,61.7283950617284
"100016",6,4,0,1,0,0,"1001_IEO_DIS_HI",11,0.545454545454545,"A",53.4545454545455,59.5,48.25,-1,38,-1,-1,42,43.8503948357614,51.0448730690402,38.8129428614503,-1,20.8333333333333,-1,-1,28.3582089552239
"100017",0,0,0,0,10,0,"1001_TIE_NEU_XX",10,1,"N",77.8,-1,-1,-1,-1,77.8,-1,81,77.5921250280795,-1,-1,-1,-1,77.5921250280795,-1,82.4970131421744
"100018",2,1,0,1,3,0,"1001_TIE_HAP_XX",7,0.428571428571429,"N",62.5714285714286,48,64,-1,85,64.3333333333333,-1,64,48.2732682816543,31.5072463768116,51.3513513513513,-1,83.1460674157303,46.8003221502917,-1,51.3513513513513
"100019",0,1,1,0,8,0,"1001_TIE_SAD_XX",10,0.8,"N",59.3,-1,35,28,-1,66.25,-1,61.5,54.5933975206774,-1,26.9662921348315,14.2857142857143,-1,63.0852460982785,-1,63.0318743327741
"100020",5,4,0,0,2,0,"1001_TIE_ANG_XX",11,0.454545454545455,"A",59.4545454545455,54.8,47.75,-1,-1,94.5,-1,62,47.4240307965086,45.9740546184036,29.4961354650132,-1,-1,86.9047619047619,-1,49.4845360824742
"100021",7,1,1,0,2,0,"1001_TIE_FEA_XX",11,0.636363636363636,"A",42.3636363636364,36.8571428571429,54,43,-1,55.5,-1,42,36.640363295745,26.6758285805905,69.4915254237288,52.112676056338,-1,47.3544973544973,-1,37.1428571428571
"100022",3,4,0,0,2,0,"1001_TIE_DIS_XX",9,0.444444444444444,"D",48.1111111111111,44,45.75,-1,-1,59,-1,49,34.7221180260333,24.7333966846162,35.7589285714286,-1,-1,47.6315789473684,-1,40
"100023",0,1,0,4,6,0,"1001_IOM_NEU_XX",11,0.545454545454545,"N",56.6363636363636,-1,60,-1,38,68.5,-1,60,49.4409414701444,-1,56.5217391304348,-1,31.0245398061854,60.5384096360686,-1,46.5909090909091
"100024",1,0,0,4,6,0,"1001_IOM_HAP_XX",11,0.545454545454545,"N",52.9090909090909,75,-1,-1,47.5,52.8333333333333,-1,52,46.4979215057814,70.2380952380952,-1,-1,39.7652736770384,47.0296577695577,-1,44.7058823529412
"100025",2,0,1,0,8,0,"1001_IOM_SAD_XX",11,0.727272727272727,"N",54.3636363636364,84,-1,70,-1,45,-1,60,47.7824762591977,76.8796992481203,-1,76.5625,-1,36.9106675443668,-1,48.6842105263158
"100026",1,0,2,0,7,0,"1001_IOM_ANG_XX",10,0.7,"N",58.1,55,-1,30,-1,66.5714285714286,-1,61.5,49.8124006330946,2.17391304347826,-1,17.6923076923077,-1,65.795068271836,-1,48.37842846553
"100027",5,4,0,0,2,0,"1001_IOM_FEA_XX",11,0.454545454545455,"A",67.7272727272727,67.2,66.25,-1,-1,72,-1,68,63.0088664773876,62.7593130633501,60.4543157991434,-1,-1,68.74185136897,-1,64.4067796610169
"100028",2,1,1,0,6,0,"1001_IOM_DIS_XX",10,0.6,"N",55.2,43.5,57,12,-1,66,-1,55.5,47.4306928501738,31.7984934086629,41.8918918918919,6.38297872340426,-1,60.405845178186,-1,45.5222171323866
"100029",1,0,1,0,8,0,"1001_IWW_NEU_XX",10,0.8,"N",60.6,84,-1,4,-1,64.75,-1,65,57.8523628713626,80.2469135802469,-1,3.03030303030303,-1,61.9058015128845,-1,57.3379099923722
"100030",1,1,2,0,3,0,"1001_IWW_HAP_XX",7,0.428571428571429,"N",59.8571428571429,80,61,47,-1,61.3333333333333,-1,61,52.8802179017604,70.5882352941177,51.8518518518518,37.9035512510089,-1,57.3047785547786,-1,56.8181818181818
"100031",0,0,4,0,4,1,"1001_IWW_SAD_XX",9,0.444444444444444,"F:N",47.5555555555556,-1,-1,48.5,-1,49,38,50,36.0949945539615,-1,-1,32.270159848857,-1,43.0060778975564,23.75,33.9285714285714
"100032",1,4,0,0,2,0,"1001_IWW_ANG_XX",7,0.571428571428571,"D",62.7142857142857,10,68.25,-1,-1,78,-1,73,58.8450848250467,9.57446808510638,62.8846011504462,-1,-1,75.4013605442177,-1,73.469387755102
"100033",4,2,2,0,0,0,"1001_IWW_FEA_XX",8,0.5,"A",51.75,49.75,76,31.5,-1,-1,-1,50,43.8966123334804,43.5812681452216,62.9166666666667,25.5072463768116,-1,-1,-1,44.2635658914729
"100034",1,3,0,0,5,1,"1001_IWW_DIS_XX",10,0.5,"N",57,95,44.6666666666667,-1,-1,66.8,7,66,53.8269003047974,100,36.5137777135941,-1,-1,65.5327680239915,1.06382978723404,64.5450221940393
"100035",0,0,0,0,8,1,"1001_TAI_NEU_XX",9,0.888888888888889,"N",47.2222222222222,-1,-1,-1,-1,48.5,37,51,38.9072568120633,-1,-1,-1,-1,41.3316395233274,19.5121951219512,36.1111111111111
"100036",0,0,0,1,7,0,"1001_TAI_HAP_XX",8,0.875,"N",52.375,-1,-1,-1,23,56.5714285714286,-1,56.5,45.1929111296544,-1,-1,-1,0,51.6490412910337,-1,47.6935312831389
"100037",0,0,1,0,6,0,"1001_TAI_SAD_XX",7,0.857142857142857,"N",47,-1,-1,24,-1,50.8333333333333,-1,37,42.2802223970054,-1,-1,13.953488372093,-1,47.0013447344908,-1,31.4606741573034
"100038",1,3,0,0,3,1,"1001_TAI_ANG_XX",8,0.375,"D:N",56,11,41.3333333333333,-1,-1,89.6666666666667,44,58,52.6162009317415,5.31914893617021,38.7683009874021,-1,-1,89.3518518518519,31.25,58.1524514811032
"100039",4,0,2,2,1,0,"1001_TAI_FEA_XX",9,0.444444444444444,"A",55.8888888888889,57.75,-1,52,63.5,41,-1,53,45.8318341438663,44.5209319359928,-1,47.9322867853796,53.5714285714286,31.3953488372093,-1,44.3181818181818
"100040",2,2,1,0,3,0,"1001_TAI_DIS_XX",8,0.375,"N",48.375,26.5,49,50,-1,62,-1,47.5,43.2318274465007,8.97435897435897,49.2690058479532,43.6363636363636,-1,61.9105087636725,-1,45.4292929292929
"100041",0,0,0,1,8,0,"1001_MTI_NEU_XX",9,0.888888888888889,"N",51.1111111111111,-1,-1,-1,30,53.75,-1,47,46.7639885597756,-1,-1,-1,18.8405797101449,50.2544146659794,-1,41.5730337078652
"100042",1,0,1,4,4,0,"1001_MTI_HAP_XX",10,0.4,"H:N",64.4,83,-1,59,48.25,77.25,-1,67.5,58.1253955814704,78.4810126582279,-1,30.3571428571429,42.8428383210992,75.261111753734,-1,59.3333333333333
"100043",0,0,1,0,8,0,"1001_MTI_SAD_XX",9,0.888888888888889,"N",55.8888888888889,-1,-1,28,-1,59.375,-1,62,48.5258236754571,-1,-1,11.8421052631579,-1,53.1112884769945,-1,60.2272727272727
"100044",0,2,0,0,7,0,"1001_MTI_ANG_XX",9,0.777777777777778,"N",67.3333333333333,-1,40.5,-1,-1,75,-1,68,60.4655700951997,-1,36.307519640853,-1,-1,67.3678702250131,-1,63.3333333333333
"100045",2,0,1,1,4,0,"1001_MTI_FEA_XX",8,0.5,"N",58.125,59,-1,51,29,66.75,-1,47.5,55.8329839592377,57.3684210526316,-1,52.6881720430108,35,61.059714381407,-1,44.0270128507737
"100046",1,3,1,0,4,0,"1001_MTI_DIS_XX",9,0.444444444444444,"N",56.1111111111111,52,65,6,-1,63,-1,61,47.8476989463531,34.3283582089552,50.0384872824632,5.05050505050505,-1,60.2837413525819,-1,55.7692307692308
"100047",0,2,0,0,8,0,"1001_IWL_NEU_XX",10,0.8,"N",51.8,-1,27.5,-1,-1,57.875,-1,49.5,43.2877376211585,-1,8.41013824884793,-1,-1,52.0071374642361,-1,44.9509803921569
"100048",2,1,1,1,5,0,"1001_IWL_HAP_XX",10,0.5,"N",46.7,61,28,55,5,51.4,-1,49,37.9089901977333,49.1111111111111,16.2790697674419,42.2535211267606,1.04166666666667,44.2586844388482,-1,35.4980192416525
"100049",1,2,0,0,7,0,"1001_IWL_SAD_XX",10,0.7,"N",53.7,20,36.5,-1,-1,63.4285714285714,-1,55.5,51.4209607432658,6.97674418604651,33.2668439716312,-1,-1,62.9570250433356,-1,58.9879978177851
"100050",7,1,0,0,1,0,"1001_IWL_ANG_XX",9,0.777777777777778,"A",51.8888888888889,48.5714285714286,70,-1,-1,57,-1,45,35.0207487476562,37.9740074086027,9.09090909090909,-1,-1,40.2777777777778,-1,29.1139240506329
"100051",4,0,1,0,3,0,"1001_IWL_FEA_XX",8,0.5,"A",42.25,16.75,-1,83,-1,62.6666666666667,-1,27.5,34.856683113658,8.81265664160401,-1,77.9220779220779,-1,55.2269201402567,-1,26.3056835637481
"100052",2,1,0,0,6,0,"1001_IWL_DIS_XX",9,0.666666666666667,"N",56.5555555555556,41,34,-1,-1,65.5,-1,56,47.5469660192135,25.1506024096386,20.253164556962,-1,-1,59.5613874661138,-1,43.8356164383562
"100053",0,0,1,1,8,0,"1001_ITH_NEU_XX",10,0.8,"N",66.4,-1,-1,13,36,76.875,-1,71,60.5918221403593,-1,-1,6.45161290322581,23.5294117647059,71.9921495919577,-1,62.4811463046757
"100054",1,0,3,1,3,0,"1001_ITH_HAP_XX",8,0.375,"F:N",52.875,33,-1,35.6666666666667,59,74.6666666666667,-1,56,42.7592070255114,0,-1,29.588778501822,44.4444444444444,69.6209587513935,-1,43.9613526570048
"100055",0,0,4,0,5,1,"1001_ITH_SAD_XX",10,0.5,"N",60.8,-1,-1,43.75,-1,83.6,15,72.5,58.227943196969,-1,-1,36.8523211294428,-1,84.7518072681616,11.1111111111111,73.0555555555556
"100056",3,3,1,0,3,0,"1001_ITH_ANG_XX",10,0.3,"A:D:N",70.4,39,89,69,-1,83.6666666666667,-1,68,62.3120013953347,33.5185185185185,70.2702702702703,61.7283950617284,-1,83.3417508417508,-1,58.1369248035915
"100057",0,0,9,0,0,0,"1001_ITH_FEA_XX",9,1,"F",53.8888888888889,-1,-1,53.8888888888889,-1,-1,-1,60,46.0538530833251,-1,-1,46.0538530833251,-1,-1,-1,53.0120481927711
"100058",0,2,4,0,5,0,"1001_ITH_DIS_XX",11,0.454545454545455,"N",55.4545454545455,-1,26,45.75,-1,75,-1,55,48.8838691745967,-1,21.8480444286896,34.5363150314904,-1,71.1762423874446,-1,34.4262295081967
"100059",1,1,1,0,5,1,"1001_DFA_NEU_XX",9,0.555555555555556,"N",58.3333333333333,53,40,69,-1,64,43,54,49.2791981879845,38.0952380952381,27.5,60,-1,58.0138888661599,27.8481012658228,46.8354430379747
"100060",1,1,2,0,4,0,"1001_DFA_HAP_XX",8,0.5,"N",65.375,83,37,51,-1,75.25,-1,65,59.0443360371137,84.9315068493151,30,38.4578313253012,-1,70.1268796992481,-1,55.5476190476191
"100061",1,2,0,0,5,1,"1001_DFA_SAD_XX",9,0.555555555555556,"N",43,5,51.5,-1,-1,46.8,45,41,33.6613437925379,2.08333333333333,48.9473684210526,-1,-1,32.5096984085018,40.4255319148936,32.8947368421053
"100062",6,2,0,0,1,0,"1001_DFA_ANG_XX",9,0.666666666666667,"A",54.6666666666667,47.3333333333333,59.5,-1,-1,89,-1,61,49.0760803440733,41.0375795818834,54.5092838196286,-1,-1,86.4406779661017,-1,55.1724137931034
"100063",2,0,5,0,2,0,"1001_DFA_FEA_XX",9,0.555555555555556,"F",49.4444444444444,19.5,-1,60.6,-1,51.5,-1,45,43.4951567444028,5.68181818181818,-1,58.9097113297827,-1,42.7721088435374,-1,41.6666666666667
"100064",1,4,0,1,3,0,"1001_DFA_DIS_XX",9,0.444444444444444,"D",44.1111111111111,27,39,-1,63,50.3333333333333,-1,55,39.9089393227685,23.9583333333333,34.8910945685139,-1,54.320987654321,47.1122515477354,-1,48.8636363636364
"100065",0,0,0,0,9,0,"1001_ITS_NEU_XX",9,1,"N",82.4444444444444,-1,-1,-1,-1,82.4444444444444,-1,88,81.8239749326681,-1,-1,-1,-1,81.8239749326681,-1,86.5853658536585
"100066",0,0,2,6,2,0,"1001_ITS_HAP_XX",10,0.6,"H",48.5,-1,-1,39,50.8333333333333,51,-1,47.5,41.9195974982828,-1,-1,26.8670309653916,42.0327678215993,56.6326530612245,-1,41.8594206153155
"100067",0,2,2,0,5,1,"1001_ITS_SAD_XX",10,0.5,"N",58.1,-1,40.5,56,-1,70,38,57,52.2647832956551,-1,38.7218045112782,49.2836879432624,-1,65.9940362761606,16.6666666666667,51.6344086021505
"100068",1,6,1,0,2,0,"1001_ITS_ANG_XX",10,0.6,"D",54.4,77,54.6666666666667,50,-1,44.5,-1,56,51.9512486011143,79.0123456790123,50.917194189253,55.1724137931034,-1,39.9122807017544,-1,55.2332657200811
"100069",2,0,3,3,1,0,"1001_ITS_FEA_XX",9,0.333333333333333,"F:H",44.7777777777778,48,-1,44,38.3333333333333,60,-1,40,33.9866514143142,32.0378745053703,-1,41.7494730502861,23.0624245048659,47.3684210526316,-1,28.0487804878049
"100070",1,3,0,0,5,0,"1001_ITS_DIS_XX",9,0.555555555555556,"N",45.6666666666667,11,29.3333333333333,-1,-1,62.4,-1,39,35.7005342016777,7.29166666666667,11.1436950146628,-1,-1,56.1164112208888,-1,31.8181818181818
"100071",0,0,0,0,10,0,"1001_TSI_NEU_XX",10,1,"N",70.5,-1,-1,-1,-1,70.5,-1,72.5,69.6265862509174,-1,-1,-1,-1,69.6265862509174,-1,70.5306905370844
"100072",0,0,5,0,4,0,"1001_TSI_HAP_XX",9,0.555555555555556,"F",58.2222222222222,-1,-1,60.4,-1,55.5,-1,59,55.2782852074274,-1,-1,57.4104650302894,-1,52.6130604288499,-1,60
"100073",0,2,2,0,4,0,"1001_TSI_SAD_XX",8,0.5,"N",67.375,-1,52.5,71,-1,73,-1,74,60.6706950524422,-1,36.8131868131868,66.2200377053595,-1,69.8247778456112,-1,66.2200377053595
"100074",2,4,1,0,2,0,"1001_TSI_ANG_XX",9,0.444444444444444,"D",65.3333333333333,71,64.5,24,-1,82,-1,70,62.7031500681949,66.8997668997669,62.9853936320869,16.6666666666667,-1,80.9602878096029,-1,64.1025641025641
"100075",0,0,7,0,1,0,"1001_TSI_FEA_XX",8,0.875,"F",55.25,-1,-1,50.2857142857143,-1,90,-1,53,52.0645882972085,-1,-1,45.7881009110955,-1,96,-1,51.6322502277558
"100076",1,0,3,0,4,1,"1001_TSI_DIS_XX",9,0.444444444444444,"N",59.1111111111111,38,-1,45.6666666666667,-1,74,61,52,48.834835255203,0,-1,38.1152426989265,-1,67.1252806333451,56.6666666666667,50
"100077",1,0,0,0,7,0,"1001_WSI_NEU_XX",8,0.875,"N",63.75,52,-1,-1,-1,65.4285714285714,-1,67.5,59.4757596575687,47.0588235294118,-1,-1,-1,61.2496076758768,-1,66.2698412698413
"100078",4,0,1,1,3,0,"1001_WSI_HAP_XX",9,0.444444444444444,"A",56.8888888888889,47.75,-1,79,60,60.6666666666667,-1,50,44.214122319065,29.6512345679012,-1,70,57.1428571428571,50.7264351523742,-1,38.2716049382716
"100079",2,1,0,0,6,0,"1001_WSI_SAD_XX",9,0.666666666666667,"N",62.7777777777778,15.5,52,-1,-1,80.3333333333333,-1,52,57.3410540077207,11.6161616161616,26.1538461538462,-1,-1,77.7805527805528,-1,50.6493506493507
"100080",7,3,0,0,0,0,"1001_WSI_ANG_XX",10,0.7,"A",54.1,51,61.3333333333333,-1,-1,-1,-1,57,47.9911515477504,44.233040772564,56.760076689852,-1,-1,-1,-1,43.3087027914614
"100081",7,2,0,0,0,0,"1001_WSI_FEA_XX",9,0.777777777777778,"A",61.2222222222222,58.4285714285714,71,-1,-1,-1,-1,55,52.0675672758225,49.4059396839066,61.3832638475283,-1,-1,-1,-1,45.1219512195122
"100082",2,2,0,0,5,0,"1001_WSI_DIS_XX",9,0.555555555555556,"N",56.2222222222222,97,19.5,-1,-1,54.6,-1,53,50.8493682435227,96.7032967032967,16.5645819901139,-1,-1,46.2217113609766,-1,40.625
"100083",0,0,1,0,8,0,"1002_IEO_NEU_XX",9,0.888888888888889,"N",85.3333333333333,-1,-1,80,-1,86,-1,83,84.8351760117829,-1,-1,80.6451612903226,-1,85.3589278519655,-1,81.5217391304348
"100084",0,0,5,0,4,1,"1002_IEO_HAP_LO",10,0.5,"F",59.2,-1,-1,66.8,-1,48.5,64,55,58.1511338971098,-1,-1,66.8577126577127,-1,45.3163322185061,65.9574468085106,62.1296296296296
"100085",1,1,0,1,6,0,"1002_IEO_HAP_MD",9,0.666666666666667,"N",61.8888888888889,7,75,-1,65,68.3333333333333,-1,65,58.061359556434,4.12371134020619,73.2394366197183,-1,63.1578947368421,63.6718655518566,-1,63.1578947368421
"100086",0,2,4,4,0,0,"1002_IEO_HAP_HI",10,0.4,"F:H",55.9,-1,48,54.75,61,-1,-1,52.5,53.2982106804966,-1,45.5555555555556,45.722174350733,64.7455745727307,-1,-1,52.8614916286149
"100087",0,0,1,0,4,5,"1002_IEO_SAD_LO",10,0.5,"S",54.2,-1,-1,35,-1,62.25,51.6,40.5,43.3890505207368,-1,-1,20.7317073170732,-1,56.9183006535948,37.0971190551832,29.1463064098879
"100088",0,1,2,1,5,1,"1002_IEO_SAD_MD",10,0.5,"N",48.1,-1,61,32.5,22,64.2,12,32.5,44.3544920355976,-1,53.5211267605634,23.7025147137507,17.9775280898876,62.6602059784914,11.340206185567,25.9047619047619
"100089",0,1,1,0,4,3,"1002_IEO_SAD_HI",9,0.444444444444444,"N",63.1111111111111,-1,36,94,-1,51.5,77.3333333333333,62,56.8916149247298,-1,13.5593220338983,92.2077922077922,-1,44.9020054212889,75.5497994652407,57.8125
"100090",7,2,1,0,0,0,"1002_IEO_ANG_LO",10,0.7,"A",57.6,52.1428571428571,61,89,-1,-1,-1,61,50.1904714984518,50.360511527321,31.3170731707317,86.7469879518072,-1,-1,-1,53.8780487804878
"100091",8,2,0,0,0,0,"1002_IEO_ANG_MD",10,0.8,"A",60.4,58.5,68,-1,-1,-1,-1,55,51.2753232337376,48.0210735611359,64.2923219241443,-1,-1,-1,-1,41.924842226047
"100092",3,5,0,1,0,0,"1002_IEO_ANG_HI",9,0.555555555555556,"D",55.4444444444444,51,61.8,-1,37,-1,-1,56,50.7493451372576,49.0543735224586,57.471752689144,-1,22.2222222222222,-1,-1,55.3846153846154
"100093",0,1,5,0,2,0,"1002_IEO_FEA_LO",8,0.625,"F",60.375,-1,58,64.2,-1,52,-1,59.5,49.458180343578,-1,43.9024390243902,50.4095537586104,-1,49.8576174655909,-1,46.0594315245478
"100094",0,4,3,0,2,0,"1002_IEO_FEA_MD",9,0.444444444444444,"D",48.2222222222222,-1,53.75,39.6666666666667,-1,50,-1,55,41.8019320217648,-1,50.9935475040483,25.6254828549355,-1,47.6833748074416,-1,51.6129032258064
"100095",0,0,5,3,2,0,"1002_IEO_FEA_HI",10,0.5,"F",72.5,-1,-1,64.6,76.6666666666667,86,-1,77,68.9733879225278,-1,-1,60.7980597243531,76.2531512064619,78.4920634920635,-1,73.5072156758904
"100096",0,1,0,0,5,1,"1002_IEO_DIS_LO",7,0.714285714285714,"N",57.5714285714286,-1,32,-1,-1,71.4,14,59,52.8899643081596,-1,23.5294117647059,-1,-1,69.3400676784823,0,49.3506493506493
"100097",1,3,4,1,1,0,"1002_IEO_DIS_MD",10,0.4,"F",62.4,42,56,74.75,62,53,-1,59.5,58.6201673180585,42.1686746987952,46.4273504273504,71.9319802209873,57.8125,59.2105263157895,-1,57.6941287878788
"100098",0,0,2,0,6,0,"1002_IEO_DIS_HI",8,0.75,"N",49.25,-1,-1,35.5,-1,53.8333333333333,-1,54,41.0026078238546,-1,-1,27.779306549257,-1,45.4103749153871,-1,41.5803605677023
"100099",8,1,0,0,0,1,"1002_TIE_HAP_XX",10,0.8,"A",70.1,65.375,100,-1,-1,-1,78,78,63.8093410363014,57.9628958075719,100,-1,-1,-1,74.390243902439,71.2872169727224
"100100",1,1,3,0,0,3,"1002_TIE_SAD_XX",8,0.375,"F:S",52.5,16,85,48.6666666666667,-1,-1,57.6666666666667,54,49.7781213703879,11.9565217391304,81.4814814814815,48.4034034034034,-1,-1,53.1922525107604,49.1176470588235
"100101",6,1,2,0,0,0,"1002_TIE_ANG_XX",9,0.666666666666667,"A",80.2222222222222,76.5,89,87,-1,-1,-1,89,81.0407748222203,76.4988096886726,91.304347826087,89.5348837209302,-1,-1,-1,91.304347826087
"100102",3,1,5,0,0,1,"1002_TIE_FEA_XX",10,0.5,"F",66.9,75.3333333333333,67,64.8,-1,-1,52,70,65.0881029222164,78.8250756335863,40,63.5478271309476,-1,-1,56.6666666666667,72.2610722610723
"100103",2,4,1,1,1,0,"1002_TIE_DIS_XX",9,0.444444444444444,"D",49.1111111111111,56.5,50.5,34,37,56,-1,56,40.6452333541659,41.7260159195643,43.9535120981777,29.2682926829268,27.2727272727273,50,-1,48.3870967741935
"100104",0,0,0,0,8,1,"1002_IOM_NEU_XX",9,0.888888888888889,"N",58.5555555555556,-1,-1,-1,-1,61.25,37,70,52.71641576934,-1,-1,-1,-1,54.7285029517751,36.6197183098592,54.2372881355932
"100105",0,0,1,0,7,1,"1002_IOM_HAP_XX",9,0.777777777777778,"N",66.2222222222222,-1,-1,82,-1,68,38,73,66.6083522716627,-1,-1,71.4285714285714,-1,70.5720065464148,34.0425531914894,71.4285714285714
"100106",1,0,0,0,8,1,"1002_IOM_SAD_XX",10,0.8,"N",62.4,27,-1,-1,-1,67.75,55,56.5,57.0291847050802,10.9756097560976,-1,-1,-1,63.2569209661859,53.2608695652174,52.2401908801697
"100107",8,2,0,0,0,0,"1002_IOM_ANG_XX",10,0.8,"A",81.7,77.125,100,-1,-1,-1,-1,79.5,81.8252494063031,77.2815617578789,100,-1,-1,-1,-1,79.6296296296296
"100108",0,0,3,1,4,1,"1002_IOM_FEA_XX",9,0.444444444444444,"N",61,-1,-1,51.6666666666667,29,88.25,12,59,56.7637390711117,-1,-1,48.6574295269947,19.3181818181818,84.3609115892795,8.13953488372093,56.5217391304348
"100109",0,2,4,0,2,0,"1002_IOM_DIS_XX",8,0.5,"F",59.75,-1,53.5,61.25,-1,63,-1,65,57.253316041741,-1,50.1815388912163,62.3538583119906,-1,54.1240086517664,-1,64.0560875512996
"100110",0,1,4,0,4,0,"1002_IWW_NEU_XX",9,0.444444444444444,"F:N",47.3333333333333,-1,53,49.75,-1,43.5,-1,43,34.1020606206457,-1,17.8571428571429,36.906949750931,-1,35.358400931236,-1,17.741935483871
"100111",1,0,0,7,0,0,"1002_IWW_HAP_XX",8,0.875,"H",52.75,48,-1,-1,53.4285714285714,-1,-1,48,44.0672514273827,41.5730337078652,-1,-1,44.4235682444566,-1,-1,36.4430825104982
"100112",0,0,1,1,4,3,"1002_IWW_SAD_XX",9,0.444444444444444,"N",40.3333333333333,-1,-1,41,50,52.5,20.6666666666667,41,32.9666730233044,-1,-1,44.4444444444444,47.3684210526316,41.7032865762567,12.6913484692122,42.0289855072464
"100113",4,2,1,0,0,0,"1002_IWW_ANG_XX",7,0.571428571428571,"A",66.7142857142857,51.25,86.5,89,-1,-1,-1,63,61.6569749057218,46.1483324586395,81.5384615384615,83.9285714285714,-1,-1,-1,56.4102564102564
"100114",1,1,6,0,2,0,"1002_IWW_FEA_XX",10,0.6,"F",59.7,47,65,61,-1,59.5,-1,62,53.8121167840409,42.2222222222222,61.1111111111111,58.3683949530573,-1,42.2887323943662,-1,55.994623655914
"100115",1,4,1,0,2,1,"1002_IWW_DIS_XX",9,0.444444444444444,"D",41.7777777777778,49,33.25,27,-1,67,33,33,40.7232485462198,43.8202247191011,35.4873652568047,9.87654320987654,-1,66.8831168831169,37.0967741935484,37.0967741935484
